tissue	sqtl_class	n_donors	n_pairs	spearman_rho	t	df	exact_two_sided_P	ci95_low	ci95_high
Esophagus-Mucosa	u-sQTL (unproductive intron)	497	1245	-0.2174352660908096	-7.8538476624605345	1243	8.669298156087401e-15	-0.2703398387862205	-0.16322152220405867
Esophagus-Muscularis	p-sQTL (productive intron)	465	4644	0.0010325471904399	0.07034977437166609	4642	0.9439182967572984	-0.027730510713988903	0.02979389671406234
Esophagus-Muscularis	u-sQTL (unproductive intron)	465	1265	-0.1296596360547741	-4.647165135057817	1263	3.7177683923070735e-06	-0.18368818534240844	-0.07485003831047372
Heart-AtrialAppendage	p-sQTL (productive intron)	372	3514	0.0006749205245657	0.039997236679320064	3512	0.9680976028000524	-0.03239124764170671	0.0337396128783355
Heart-AtrialAppendage	u-sQTL (unproductive intron)	372	917	-0.1274379799581615	-3.886556115896809	915	0.0001090133183603	-0.19085775040032543	-0.06295874987615176
Heart-LeftVentricle	p-sQTL (productive intron)	386	2742	0.0032836129605567	0.17188167762774176	2740	0.8635432444544735	-0.03415320944561856	0.04071123345981146
Heart-LeftVentricle	u-sQTL (unproductive intron)	386	635	-0.1440452470377082	-3.6622988723006626	633	0.0002708619490721	-0.21977593153699135	-0.0665888677253305
Kidney-Cortex	p-sQTL (productive intron)	73	540	0.0252558669799903	0.5859923855922711	538	0.5581263794723661	-0.05926141588075993	0.10941364134965124
Kidney-Cortex	u-sQTL (unproductive intron)	73	129	-0.0748803309522625	-0.8462342533029675	127	0.3990137554506775	-0.24479910163083488	0.0995009680568789
Liver	p-sQTL (productive intron)	208	1448	0.0176612106394295	0.6716953774105973	1446	0.5018849392489049	-0.03388814126428542	0.0691168404327794
Liver	u-sQTL (unproductive intron)	208	419	-0.1294453662823527	-2.6657775516995206	417	0.0079795195914354	-0.22286855097417016	-0.033666149541238276
Lung	p-sQTL (productive intron)	515	4932	-0.0139269714349272	-0.9779626451900248	4930	0.3281407853014456	-0.04182181284944237	0.01398956481469035
Lung	u-sQTL (unproductive intron)	515	1498	-0.1013823292522341	-3.941590769812659	1496	8.467843730693794e-05	-0.1513800292213097	-0.050867200369502936
MinorSalivaryGland	p-sQTL (productive intron)	144	1731	0.0165404517822253	0.6878666927189728	1729	0.4916289999866137	-0.030601112607832673	0.0636085939975275
MinorSalivaryGland	u-sQTL (unproductive intron)	144	479	-0.2149352669161123	-4.806595405639688	477	2.060545157479602e-06	-0.2997149180558766	-0.1267875403355264
Muscle-Skeletal	p-sQTL (productive intron)	706	5309	-0.0136918383800331	-0.997532420557265	5307	0.3185516250283227	-0.04057861025708353	0.013214747418542382
Muscle-Skeletal	u-sQTL (unproductive intron)	706	1305	-0.2651773717863508	-9.927541269336754	1303	1.93247763613085e-22	-0.3157629104421435	-0.21308868312309787
Nerve-Tibial	p-sQTL (productive intron)	532	5522	-0.0105686443241522	-0.7852592794913115	5520	0.4323352669694722	-0.03693558276842451	0.015812998927447083
Nerve-Tibial	u-sQTL (unproductive intron)	532	1733	-0.0881678237988894	-3.682589060770221	1731	0.0002379646887554	-0.1347857457752214	-0.041160454988962876
Ovary	p-sQTL (productive intron)	167	1940	0.0043800530846553	0.1928237063470155	1938	0.8471172409709948	-0.04013170306920991	0.048874459303753316
Ovary	u-sQTL (unproductive intron)	167	607	-0.1529743112860776	-3.8074840037424336	605	0.0001546966928322	-0.2301990210207766	-0.0738349890043162
Pancreas	p-sQTL (productive intron)	305	2301	0.0069163244676405	0.3316310855385838	2299	0.7401980714582748	-0.03395684814895332	0.04776639999015543
Pancreas	u-sQTL (unproductive intron)	305	704	-0.1666652522734574	-4.478481071541076	702	8.77290815193628e-06	-0.23811397914369675	-0.09342233116867127
Pituitary	p-sQTL (productive intron)	237	2797	-0.0049580419706803	-0.2621237925593448	2795	0.7932453203967125	-0.042013152212876194	0.032110689199631635
Pituitary	u-sQTL (unproductive intron)	237	855	-0.0584943519972654	-1.7113258576018942	853	0.0873845115317402	-0.12510696313214328	0.008643253647472036
Prostate	p-sQTL (productive intron)	221	2277	0.0038955114222371	0.18580546256712663	2275	0.8526138850486233	-0.03718851153697302	0.044966387946308924
Prostate	u-sQTL (unproductive intron)	221	759	-0.07987482302012	-2.2046907683377572	757	0.027775866725323	-0.1502949120692691	-0.008648320519087132
Skin-NotSunExposed_Suprapubic	p-sQTL (productive intron)	517	4748	-0.0212749785436126	-1.4659910069577449	4746	0.1427169854858456	-0.049693568461652037	0.00717803261373473
