clu	intron_length	meanUnprod	intron_length_bin
clu_102902	5033	0.00322525469168901	5-20kb
clu_102903	6576	0.00808281501340483	5-20kb
clu_102906	101	0.0130399463806971	<1kb
clu_102908	1192	0.00977691689008043	1-5kb
clu_102919	3365	0.0120012332439678	1-5kb
clu_102923	4514	0.00769225201072386	1-5kb
clu_102925	3110	0.0246841286863271	1-5kb
clu_102926	76	0.0429235656836461	<1kb
clu_102927	2085	0.00773369973190348	1-5kb
clu_102929	9387	0.0121708042895442	5-20kb
clu_102930	41234	0.108723029490617	20-50kb
clu_102931	7582	0.0301408847184987	5-20kb
clu_102932	11705	0.0355507506702413	5-20kb
clu_102934	218	0.00481825737265416	<1kb
clu_10294	1141	0.125040026809651	1-5kb
clu_102945	1615	0.863062654155496	1-5kb
clu_102946	94	0.621140857908847	<1kb
clu_102949	1396	0.00158662198391421	1-5kb
clu_102953	3991	0.0124379624664879	1-5kb
clu_102961	41962	0.190987372654155	20-50kb
clu_102962	247	0.0111421983914209	<1kb
clu_102963	1897	0.0194281501340483	1-5kb
clu_102965	998	0.0030483109919571	<1kb
clu_102968	1127	0.0110609115281501	1-5kb
clu_102969	2661	0.494379034852547	1-5kb
clu_102970	3916	0.15712	1-5kb
clu_102974	2327	0.0700680965147453	1-5kb
clu_10299	5821	0.00415627345844504	5-20kb
clu_10300	635	0.612225442359249	<1kb
clu_103002	3872	0.0331720375335121	1-5kb
clu_103004	815	0.0440207506702413	<1kb
clu_103005	3136	0.01787	1-5kb
clu_103006	304	0.0851224664879357	<1kb
clu_103007	165	0.322635067024129	<1kb
clu_103008	4581	0.0195204825737265	1-5kb
clu_10301	2635	0.0220821715817694	1-5kb
clu_103010	2644	0.298935683646113	1-5kb
clu_10302	5389	0.0114727345844504	5-20kb
clu_103022	2176	0.0395722252010724	1-5kb
clu_103023	14259	0.209459731903485	5-20kb
clu_103024	4496	0.0193267024128686	1-5kb
clu_103025	7122	0.0350215549597855	5-20kb
clu_103043	3211	0.0854527613941019	1-5kb
