Gene_name	medUPratio	meanrpkm	rpkm_bin
C2orf74	0.05714	0.466666469768287	Q2
C2orf76	0.03086	0.187499078251936	Q1 - lowly expressed
C2orf92	0.375	0.0333830276129808	Q1 - lowly expressed
C3orf38	0.07018	0.41764499452089	Q2
C4orf36	0.14286	0.01940358405652	Q1 - lowly expressed
C4orf46	0.01299	0.560623815152474	Q2
C4orf47	0.16667	0.0769215451359067	Q1 - lowly expressed
C5orf15	0.03704	1.11720442693239	Q3
C5orf22	0.04444	0.709745804583346	Q3
C5orf34	0.02703	0.345125241430115	Q2
C5orf63	0.22222	0.207932403794145	Q1 - lowly expressed
C6orf62	0.01207	6.44745440219993	Q5 - highly expressed
C7orf50	0.02519	0.316116611305724	Q2
C8orf44-SGK3	0.14583	0.0191731882898147	Q1 - lowly expressed
C8orf76	0.00615	1.05660783901543	Q3
C9orf78	0.00439	6.63276887210307	Q5 - highly expressed
C9orf85	0.04545	0.0899122789469015	Q1 - lowly expressed
CA13	0.4	0.0169388486446589	Q1 - lowly expressed
CAAP1	0.0195	0.378063388850104	Q2
CAB39	0.00121	0.618077345837693	Q3
CABIN1	0.00843	0.53887345648675	Q2
CABLES1	0.00727	0.412847476935971	Q2
CACNA1D	0.02235	0.0108885586937996	Q1 - lowly expressed
CACNA1E	0.02889	0.073462332550001	Q1 - lowly expressed
CACNB1	0.07143	0.203049178718332	Q1 - lowly expressed
CAD	0.00191	8.8871936575079	Q5 - highly expressed
CALCOCO2	0.00081	4.39824392490243	Q5 - highly expressed
CALHM2	0.2	0.6352484301334	Q3
CALR	0.00052	180.304722667485	Q5 - highly expressed
CALU	0.00207	1.07383799161232	Q3
CAMK1D	0.00267	0.0628541636199113	Q1 - lowly expressed
CAMK2D	0.005	0.21685806521412	Q2
CAMK4	0.00515	0.120599914790699	Q1 - lowly expressed
CAMKK2	0.00504	0.55450712932373	Q2
CAMSAP2	0.00325	0.142431834212863	Q1 - lowly expressed
CAMTA1	0.01528	0.0336748158921582	Q1 - lowly expressed
CAMTA2	0.00664	2.30155707113134	Q4
CAND1	0.00086	3.10760590436122	Q4
CANT1	0.03448	0.49633413920436	Q2
CANX	0.00065	13.1137648163066	Q5 - highly expressed
CAPG	0.00069	4.76780406729517	Q5 - highly expressed
CAPN10	0.01351	0.422617560508441	Q2
CAPN12	0.05263	0.127456094694056	Q1 - lowly expressed
CAPN15	0.02972	0.65135147106874	Q3
CAPN3	0.00929	0.153944919399287	Q1 - lowly expressed
CAPN7	0.02011	0.650249136042163	Q3
CAPRIN1	0.00065	7.6372300644337	Q5 - highly expressed
CAPRIN2	0.01111	0.0902172992670311	Q1 - lowly expressed
CAPS2	0.23077	0.012409513496027	Q1 - lowly expressed
CAPZA1	0.00166	4.95087789997693	Q5 - highly expressed
CAPZA2	0.00088	1.06575916565254	Q3
CAPZB	0.00028	3.41884089653608	Q4
CARD11	0.00211	0.855101377848036	Q3
CARD19	0.12745	0.666514587231491	Q3
CARD8	0.06183	0.557909704649143	Q2
CARD9	0.01639	0.521847844206851	Q2
CARHSP1	0.00297	1.46905805534499	Q3
CARM1	0.00354	3.43719630787607	Q4
CARMIL1	0.00266	0.106132750735207	Q1 - lowly expressed
CARMIL2	0.00174	10.7066528726382	Q5 - highly expressed
CARNMT1	0.00719	0.225270614296503	Q2
CARS1	0.00664	2.57009078404319	Q4
CARS2	0.01695	1.05602365355146	Q3
CASC3	0.00316	2.18666929874126	Q4
CASD1	0.00639	0.397825261704598	Q2
CASP10	0.02564	0.218569514888467	Q2
CASP2	0.01445	1.40192729432575	Q3
CASP4	0.00199	2.21627288086866	Q4
CASP8	0.01379	0.123650699034005	Q1 - lowly expressed
CAST	0.00024	1.03997935028878	Q3
CASTOR1	0.02069	1.59276659718302	Q4
CAT	0.00066	2.35571809488348	Q4
CATSPER2	0.19512	0.0521582263748856	Q1 - lowly expressed
CBFB	0.01333	0.424895109898632	Q2
CBLB	0.00894	0.187917876362283	Q1 - lowly expressed
CBLL1	0.02362	0.577188702461812	Q2
CBR4	0.05674	0.103413065177997	Q1 - lowly expressed
CBX1	0.00276	1.31856061257707	Q3
CBX3	0.00029	17.050286869013	Q5 - highly expressed
CBX5	0.01835	1.0036668545913	Q3
CBX7	0.08108	0.14449348197367	Q1 - lowly expressed
CBY1	0.03529	0.516174292323093	Q2
CC2D1A	0.00238	1.82783378524749	Q4
CC2D1B	0.02576	2.63380793343063	Q4
CC2D2B	0.11111	0.0124803916878988	Q1 - lowly expressed
CCAR1	0.0022	2.04591653310449	Q4
CCAR2	0.00612	8.76221117244438	Q5 - highly expressed
CCDC102A	0.01136	0.342663808100045	Q2
CCDC106	0.00247	2.24979482347244	Q4
CCDC107	0.02281	5.38302936719829	Q5 - highly expressed
CCDC115	0.0524	3.45179521518636	Q4
CCDC12	0.01104	1.14818763478012	Q3
CCDC125	0.04065	0.1796186698515	Q1 - lowly expressed
CCDC137	0.0165	2.76060401389211	Q4
CCDC138	0.0221	0.13447413213182	Q1 - lowly expressed
CCDC14	0.01007	0.488782390915023	Q2
CCDC15	0.01351	0.0616785987188069	Q1 - lowly expressed
